Exterior Description,Directions,Fireplace Y/N,Irrigation Water Rights Y/N,Inclusions,Basement,Bedrooms Possible,Window Features,Land Lease Y/N,Garage Y/N,Gulf-Front,Baths Full Lower,Interior Amenities,Living Area,Building Area Units,Street Name,Air Conditioning Y/N,Close Price,Parcel Number,FuelDescription,Stories Count,Bathrooms,Association Fee Includes,Bedrooms Upper,Property Style,PropertySubType,Assoc Fee Paid Per,Heating Y/N,Standard Status,Baths Half Lower,Accessory Dwelling Unit,Hot Water,MobileHomeRemainsYN,Public Remarks,description,Waterfront Features,Water Heater Location,Waterfront Footage,Exterior Features,ADU,Adult Family Homes,Baths Three Quarter Main,Open Parking Y/N,Total Parking,Property Subtype,Site Features,Street Suffix,1/2 Baths,Interior Features,Accessibility,Sewer,Zoning Description,Full Baths,Green Energy Generation,Heating,address,Fireplaces Lower,Skirt,Road Surface Type,Security Features,Green Verification NWESH Rating,Covered Spaces,house_size,Park Name,Middle/Junior High School,Tax Annual Amount,Virtual Tour,Building Name,WaterfrontY/N,price,Building Area Total,Subdivision Name,Year Built,NWM_ShowMapLink,MLS Area,Accessory Dwelling Unit Y/N,Bedrooms Lower,Baths Three Quarter Garage,Home Owner Assoc,HOA / Comm Assn,Community Features,Baths Full Garage,Lot Size Units,ModificationTimestamp,Pool Type,Green Building Verification Type,Baths Full Main,Lot Size Square Feet,Unit Number,Fireplaces Upper,baths,Power Production Type,Baths Three Quarter Upper,Living Area Units,Possession,Levels,Property SubType,Elementary School,Attached Garage,Building Design,Disclosures,Open Parking Spaces,Make,Roof,VA loan,Appliances,Home Owner Assoc:,Pool Features,Body Type,Legal Description,View,Other Rooms,Baths Half Main,Water Heater Type,Total Baths,Land Lease Amount Frequency,Vegetation,Status,Spa,lot_size,High School,Lot Number,Storage Locattion,Total Bathrooms,Builder Name,Baths Half Upper,Cooling,Water Source,New Construction,Senior Community Y/N,Topography,3/4 Baths,Half Baths,Total Actual Rent,Carport Spaces,Water Company,Structure Type,SeniorCommunityYn,Land Lease Amount,Terms,Fireplace Features,Pets Allowed,Flooring,High School District,Green Verification HERS Metric,Carport Y/N,Green Verification Built Green Rating,Parking Features,Entry Location,Special Listing Conditions,Exterior Amenities,AFH,Facing Direction,HOA,Tax Year,Property Type,Total Bedrooms,Energy Efficient,City,Home Owner Association Y/N,Lot Dimensions,url,Lot Size Acres,Total Fireplaces,Fireplaces Main,HOA Fee,Main Level Bedrooms,Buyer Financing,status,AttributionContact,Parking Uncovered Total,Property Condition,Baths Half Garage,Model,Architectural Style,Garage Spaces,ListingTerms,Baths Full Upper,Foundation Details,Waterfront Y/N,Baths Three Quarter Lower,beds,Listing Terms,View Y/N,County,Lot Features,Number of Homes in Park,Assoc/CIC,Latitude,Longitude
,GPS Friendly.,Yes,No,"Dishwasher(s), Refrigerator(s), See Remarks, Stove(s)/Range(s)",,3,,No,,,0,"Double Pane/Storm Window, Dining Room, Fireplace",,0 sqft,,No,"$320,000 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Opportunity Knocks! Dont miss this Three Bedroom, One Bath, 1200 sq/ft, Mid-Century Modern, Brick Rambler, Proudly situated on sprawling 4480 sq/ft lot in coveted South Tacoma. Needs work, but has great bo","Opportunity Knocks! Don’t miss this Three Bedroom, One Bath, 1200 sq/ft, Mid-Century Modern, Brick Rambler, Proudly situated on sprawling 4480 sq/ft lot in coveted South Tacoma. Needs work, but has great bones and lots of potential! Oak Hardwood floors, tiled bathroom, vinyl windows, beautiful fireplace, big yard, tons of curb appeal and the list goes on. Ready to shine again for the right owner. Centrally located near parks, shopping, schools, amenities, and I-5. Great neighbors and tons of upside. Hurry today before it’s too late.",,,,,,,0,,1,Single Family Residence,"Cable TV, Dog Run, Fenced-Partially, Gas Available, RV Parking",,,,,Sewer Connected,,1,,"Baseboard, Wall Unit(s)","6486 S I Street
Tacoma, WA 98408",,,,Partially Fenced,,1,"1,199 SQFT",,Giaudrone Mid Sch,"$3,721 ",,,,"$320,000 ","1,199 sqft",Tacoma,1958,Y,50 - South Tacoma,,0,0,,,,0,Square Feet,2025-09-02T11:01:12.664Z,,,1,"4,480 sqft",,,1 Baths,Electric,0,,Closing,One,,Fawcett,No,,,,,Composition,,"Dishwasher(s), Refrigerator(s), See Remarks, Stove(s)/Range(s)",,,,,"See Remarks, Territorial",,0,,1,,Garden Space,Sold,,0.10 Acres,Mt Tahoma,,,,,0,,Public,No,No,Level,0,0,,,,House,,,,Wood Burning,,"Ceramic Tile, Hardwood, See Remarks, Vinyl",Tacoma,,No,,"Off Street, RV Parking",Main,,Wood Products,,,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2408022-6486-S-I-Street-Tacoma-WA-98408/,0.1028,1,1,$0 ,3,,"SOLD: AUG 02, 2025",,,Fixer,0,,See Remarks,,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Rehab Loan, See Remarks",,Pierce,Paved,,,47.1960118,-122.4461334
,I 5 south: Exit 135 toward WA-167/ L toward Puyallupu. L to Bay St. R to Pioneer Way. R Waller Rd E. R 64th St E. L E Portland AVE.,No,No,"Dishwasher(s), Dryer(s), Garbage Disposal, Leased Equipment, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,No,Yes,,0,"Ceiling Fan(s), Water Heater",868 sqft,0 sqft,,No,"$300,000 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Short Sale, Sold As Is. Come see this great Home. Welcome to this cozy 3 bed, 1 bath rambler with an attached 1 car garage in southeast Tacoma. It's the perfect starter home with easy access to parks, s","Short Sale, Sold As Is. Come see this great Home. Welcome to this cozy 3 bed, 1 bath rambler with an attached 1 car garage in southeast Tacoma. It's the perfect starter home with easy access to parks, shopping, dining & freeways. As you enter the home you will step into the light and bright living room that features LVP flooring. The kitchen offers bright white cabinets, stainless steel appliances and granite countertops. The kitchen sliding glass doors lead to a covered patio perfect for weekend BBQ's. The large backyard offers many possibilities, there's even room for a garden. The bathroom is centrally located just across the hall from the bedrooms. The laundry room is located in the garage just off the kitchen.",,Outside Utility Room,,,,,0,,1,Single Family Residence,"Fenced-Partially, Patio",,,,,Sewer Connected,,1,,Baseboard,"6659 E Portland Avenue
Tacoma, WA 98404",,,,Partially Fenced,,1,868 SQFT,,First Creek Mid,"$3,205 ",Click here,Sweets Addition,,"$300,000 ",868 sqft,Se Tacoma,1970,Y,61 - Southeast Tacoma,,0,0,,,,0,Square Feet,2025-11-02T12:03:10.672Z,,,1,"5,000 sqft",,,1 Baths,Electric,0,,Closing,One,,Boze,Yes,,,,,Composition,,"Dishwasher(s), Disposal, Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,Territorial,,0,Electric,1,,"Brush, Garden Space",Sold,,0.11 Acres,Lincoln High,0,,,,0,,Public,No,No,Level,0,0,,,TPU,House,,,,Electric,,"Vinyl, Vinyl Plank",Tacoma,,No,,Attached Garage,Main,Short Sale,Wood Products,,West,No,2024,Residential,3,,Tacoma,,50x100x50x100,https://www.premierepropertygroup.com/property/21-2225533-6659-E-Portland-Avenue-Tacoma-WA-98404/,0.1148,0,,$0 ,3,,"SOLD: OCT 02, 2025",,,Good,0,,See Remarks,1,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional",,Pierce,"Curbs, Paved, Sidewalk",,,47.196382,-122.4074297
,"Google Maps uses 1316 115th St S Parkland WA. Technically its Tacoma. Be precise entering the address, there are similar addresses nearby.",Yes,No,"Dishwasher(s), Dryer(s), Garbage Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,3,,No,,,0,"Bath Off Primary, Dining Room, Fireplace, Walk-In Closet(s), Water Heater",,0 sqft,,No,"$470,000 ",,,,1.75,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Fully remodeled with quality craftsmanship, this home offers high-quality modern living. All NEW appliances! Enjoy a bright, open layout that flows seamlessly from room to roomperfect for both relaxing","Fully remodeled with quality craftsmanship, this home offers high-quality modern living. All NEW appliances! Enjoy a bright, open layout that flows seamlessly from room to room—perfect for both relaxing and entertaining. The living room features a beautiful fireplace and a large picture window that fills the space with natural light. Step outside to a spacious, open backyard with fresh fencing, versatile sheds, and a fire pit—perfect for entertaining or enjoying summer evenings. Beautiful accented doors, barn doors, and luxury vinyl flooring highlight the thoughtful design that sets this home apart. With a brand-new roof and fresh interior and exterior paint, every detail has been thoughtfully upgraded to create a truly move-in ready home.",,Laundry Room,,,,,1,,1,Single Family Residence,"Fenced-Fully, Patio",,,,,Sewer Connected,,1,,Wall Unit(s),"1316 115th Street S
Tacoma, WA 98444",,,,Fully Fenced,,1,"1,176 SQFT",,Perry G Keithley Mid,"$3,942 ",,,,"$470,000 ","1,176 sqft",Tacoma,1951,Y,66 - Parkland,,0,0,,,,0,Square Feet,2025-09-27T11:03:25.660Z,,,1,"6,000 sqft",,,2 Baths,Electric,0,,Closing,One,,James Sales Elem,No,,,,,Composition,,"Dishwasher(s), Disposal, Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,,,0,Electric,2,,,Sold,,0.14 Acres,Wash High,,,,,0,,Public,No,No,Level,1,0,,,,House,,,,Electric,,Vinyl Plank,Franklin Pierce,,No,,Driveway,,,Metal/Vinyl,,North,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2404922-1316-115th-Street-S-Tacoma-WA-98444/,0.1377,1,1,$0 ,3,,"SOLD: AUG 27, 2025",,,Updated/Remodeled,0,,,,,0,Block,No,0,3 Beds,Conventional,,Pierce,Paved,,,47.1518402,-122.4520701
,"From Hwy 512, take the Pacific Ave exit, go S on Pacific Ave, turn L on 131st St which becomes Brookdale Rd, turn R on Golden Given Rd, L on 137th St, home will be 4 down on your left hand side",Yes,No,"Dishwasher(s), Stove(s)/Range(s)",,3,,No,Yes,,0,"Bath Off Primary, Double Pane/Storm Window, Dining Room, Fireplace, Sprinkler System, Water Heater",,0 sqft,,Yes,"$499,950 ",,,,1.75,,0,10 - 1 Story,,,Yes,Closed,0,,,,"Welcome to this beautifully updated 3-bedroom, 2-bathroom rambler in Tacoma, nestled on a 1/4-acre lot with a stunning mountain view. This inviting home features dual living areas, offering flexibility","Welcome to this beautifully updated 3-bedroom, 2-bathroom rambler in Tacoma, nestled on a 1/4-acre lot with a stunning mountain view. This inviting home features dual living areas, offering flexibility for entertaining, relaxing, or working from home. The spacious kitchen provides ample room for cooking and gathering. Refinished hardwood floors flow throughout much of the home, adding timeless charm, while both bathrooms have been tastefully updated with modern finishes. Fresh interior and exterior paint give the home a crisp, clean feel. Step outside to enjoy a large covered patio overlooking the fully fenced, private backyard—perfect for year-round enjoyment. Both carport and garage parking. A rare find with comfort, style, and space!",,Utility room,,,,,1,,2,Single Family Residence,"Fenced-Fully, Outbuildings, Patio, Shop",,,,,Sewer Connected,,1,,"Forced Air, Wall Unit(s)","1203 137th Street E
Tacoma, WA 98445",,,,Fully Fenced,,2,"1,679 SQFT",,Perry G Keithley Mid,"$5,347 ",Click here,,,"$499,950 ","1,679 sqft",Brookdale,1962,Y,68 - Parkland,,0,0,,,,0,Square Feet,2025-08-10T11:03:32.672Z,,,1,"11,400 sqft",,,2 Baths,"Electric, Natural Gas",0,0 sqft,Closing,One,,Elmhurst Elem,Yes,,,,,Composition,,"Dishwasher(s), Stove(s)/Range(s)",,,,,Mountain(s),,0,Tankless,2,,Garden Space,Sold,,0.26 Acres,Wash High,,,,,0,Forced Air,Public,No,No,Level,1,0,,,Parkland Light and Water,House,,,,Gas,,"Hardwood, Vinyl, Carpet",Franklin Pierce,,Yes,,"Attached Carport, Driveway, Attached Garage",Main,,Wood Products,,,No,2025,Residential,3,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2388421-1203-137th-Street-E-Tacoma-WA-98445/,0.2617,1,1,$0 ,3,,"SOLD: JUL 10, 2025",,,,0,,,2,,0,Poured Concrete,No,0,3 Beds,"Cash Out, Conventional, FHA, VA Loan",,Pierce,Paved,,,47.1325289,-122.4134785
,Take 72nd west from I-5. Left on S. Oakes. Home is on the left,No,No,"Dishwasher, Microwave, Refrigerator, StoveRange",Unfinished,2,,No,,,0,,,0 sqft,Oakes,No,"$350,000 ",,,,1,,0,10 - 1 Story,,,Yes,Closed,0,,,,Come see this cute Tacoma bungalow! Completely updated kitchen with quartz countertops and soft close cabinets. Home sits on a large lot with tons of potential for a backyard oasis. Perfect for a fir,Come see this cute Tacoma bungalow! Completely updated kitchen with quartz countertops and soft close cabinets. Home sits on a large lot with tons of potential for a backyard oasis. Perfect for a first-time home buyer or investment property to add to your portfolio.,,,,Wood,,,0,No,0,,"Cable TV, Fenced-Fully",Street,,"Laminate, Wall to Wall Carpet, Double Pane/Storm Window",,Sewer Connected,,1,,"Baseboard, Wall Unit(s)","7409 S Oakes Street
Tacoma, WA 98409",,,,,,0,936 SQFT,,Buyer To Verify,"$3,091 ",Click here,,,"$350,000 ",936 sqft,South Tacoma,1910,,49 - South Tacoma,,0,0,,No,,0,Square Feet,2024-03-26T23:11:10.347Z,,,1,"6,000 sqft",,,1 Baths,Electric,0,0 sqft,Closing,One,Residential,Buyer To Verify,No,,,,,Composition,,"Dishwasher, Microwave, Refrigerator, Stove/Range",,,,,Territorial,,0,,1,,,Sold,,0.14 Acres,Buyer To Verify,,,,,0,,Public,No,No,Level,0,0,,,TPU,House,,,,,,"Laminate, Vinyl, Carpet",Tacoma,,No,,Off Street,Main,,,,,0,2023,Residential,2,,Tacoma,,6000,https://www.premierepropertygroup.com/property/21-2177841-7409-S-Oakes-Street-Tacoma-WA-98409/,0.1377,,,,2,,"SOLD: MAR 26, 2024",,,,0,,See Remarks,,,0,Block,No,0,2 Beds,"Cash Out, Conventional, FHA, State Bond, VA Loan",Yes,Pierce,"Alley, Dead End Street",,,47.1897399,-122.4722143
,"Head south on I-5, take exit 135 for WA-167 N toward Puyallup, continue east on WA-167, turn R on 70th Ave E, turn L onto 20th St E, and continue west on 75th St E; your destination will be on the R",No,No,"Dishwasher(s), Dryer(s), Refrigerator(s), Sewer, Stove(s)/Range(s), Washer(s), Water",,2,,,Yes,,,,,0 sqft,,Yes,"$180,000 ",,,,2,,0,21 - Manuf-Double Wide,,,Yes,Closed,,,,Yes,"Discover a delightful retreat in The Maples, a quiet 55+ community! This charming Marlette-manufactured home on a corner lot features 1, 274 sq ft with 2 bedrooms, 2 bathrooms, and a spacious 2-car garag","Discover a delightful retreat in The Maples, a quiet 55+ community! This charming Marlette-manufactured home on a corner lot features 1,274 sq ft with 2 bedrooms, 2 bathrooms, and a spacious 2-car garage. Recent upgrades include a newer roof, tankless hot water heater, heat pump, and stylish flooring, ensuring comfort and efficiency all year round. The inviting layout and modern features make this home move-in ready. Enjoy affordable space rent in this peaceful, well-kept community. Don’t miss this wonderful opportunity for convenient, relaxed living in a prime location!",,Laundry Room,,Wood,,,,,2,Manufactured Home,,,,Water Heater,,,,2,,Forced Air,"1908 75th Street E # 30
Tacoma, WA 98404",,Wood,,,,,"1,274 SQFT",The Maples,Morris Ford Mid,"$1,169 ",Click here,,,"$180,000 ","1,274 sqft",Se Tacoma,1987,Y,62 - Southeast Tacoma,,,,,,,,Square Feet,2025-02-09T12:02:18.225Z,,,,0 sqft,30,,2 Baths,"Electric, Natural Gas",0,0 sqft,Closing,One,,Harvard Elem,,,,,Marlette,Composition,,"Dishwasher(s), Dryer(s), Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,Double Wide,,,"Dining Room, Entry, Kitchen With Eating Space, Living Room, Utility Room",,Electric,2,$0 ,,Sold,,0.00 Acres,Franklin-Pierce High,,,,,0,Heat Pump,Public,,Yes,,0,0,,,Included,Manufactured House,,$650 ,,,Subj to Restrictions,"Engineered Hardwood, Vinyl",Franklin Pierce,,No,,Individual Garage,,,,,,,2024,Residential,2,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2307563-1908-75th-Street-E-30-Tacoma-WA-98404/,0,0,,,,,"SOLD: JAN 09, 2025",,,Good,,,,,,0,Tie Down,No,,2 Beds,"Cash Out, Conventional",,Pierce,"Corner Lot, Paved",27,,47.1886417,-122.4032629
,"North on Jackson, right on N. 13th street, Right/continue on N. 13th Street, Right on Hawthorne to home on right.",Yes,No,"Dishwashers, DoubleOven, Dryers, Refrigerators, StovesRanges",Finished,4,,No,Yes,,1,,,0 sqft,,Yes,"$617,900 ",,,,3,,0,16 - 1 Story w/Bsmnt.,,,Yes,Closed,0,,,,"Welcome to this amazing home in desirable Tacoma location. This shy 2, 500 soft home has 4 beds, 3 full baths and a spacious floor plan with *Heat Pump*.The roomy kitchen has tons of cabinet and counte","Welcome to this amazing home in desirable Tacoma location. This shy 2,500 soft home has 4 beds, 3 full baths and a spacious floor plan with *Heat Pump*.The roomy kitchen has tons of cabinet and counter top space along with a desk area. The large dining space opens to the living room and cozy wood burning fireplace. The main floor primary suite has private bath and lots of closet space. The generous bedroom sizes provide an oasis for all. Beautiful wood spindle staircase leads to the vast family room with fireplace, large laundry room, full bath and two bedrooms. The ample deck is perfect for entertaining along with the outdoor kitchen, fully fenced yard and patio. Close to schools, shopping and freeways Hurry this home won't last long!",,Utility Room,,"Brick, Metal/Vinyl",,,0,No,2,,"Cable TV, Deck, Fenced-Fully, Gas Available, High Speed Internet, Patio",,,"Bath Off Primary, Ceiling Fan(s), Double Pane/Storm Window, French Doors, Fireplace, Water Heater",,Sewer Connected,,3,,"Forced Air, Heat Pump","1128 N Hawthorne Street
Tacoma, WA 98406",,,,PartiallyFenced,,2,"2,448 SQFT",,Buyer To Verify,"$6,016 ",,,,"$617,900 ","2,448 sqft",Narrows,1959,Y,24 - North Tacoma,,2,0,,No,,0,Square Feet,2024-06-24T22:17:08.701Z,,,2,"7,875 sqft",,,3 Baths,"Electric, Wood",0,0 sqft,Closing,One,Residential,Buyer To Verify,Yes,,,,,Composition,,"Dishwasher(s), Double Oven, Dryer(s), Refrigerator(s), Stove(s)/Range(s)",,,,,,,0,Electric,3,,Brush,Sold,,0.18 Acres,Buyer To Verify,,,,,0,"Forced Air, Heat Pump",Public,No,No,Level,0,0,,,TPU,House,,,,"Gas, Wood Burning",,,Tacoma,,No,,Attached Garage,Main,,,,,0,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2234632-1128-N-Hawthorne-Street-Tacoma-WA-98406/,0.1808,1,1,,2,,"SOLD: JUN 24, 2024",,,Good,0,,Northwest Contemporary,2,,0,Poured Concrete,No,0,4 Beds,"Cash Out, Conventional",No,Pierce,"Curbs, Paved, Sidewalk",,,47.261283,-122.5275987
,"N on Pac Ave, right onto S 55th, house on right",Yes,No,"Dishwashers, Dryers, Microwaves, Refrigerators, SeeRemarks, StovesRanges, Washers",Partially Finished,5,,No,Yes,,0,,,0 sqft,55th,No,"$509,900 ",,,,1.5,,2,17 - 1 1/2 Stry w/Bsmt,,,Yes,Closed,0,,,,"Come discover this beautifully updated Tudor home nestled in established South Tacoma neighborhood! Boasting 5 bedrooms, tons of natural light & the timeless appeal of built-ins, arched doorways, & cove","Come discover this beautifully updated Tudor home nestled in established South Tacoma neighborhood! Boasting 5 bedrooms, tons of natural light & the timeless appeal of built-ins, arched doorways, & coved ceilings. Enter into the charming dining area connected to the living room for ease of entertaining & accented by beautiful hardwood floors & a wood burning fireplace. Stylishly updated kitchen features quartz countertops, stainless steel appliances & adorable breakfast nook. One bedroom on the main floor! 2 upstairs plus a landing & bonus area. Partially finished basement offers 2 more bedrooms & plenty of storage space. Lush, fully fenced backyard with fire pit is the perfect sanctuary to enjoy the summer. Just move right in and enjoy!",,Basement,,Wood Products,,,0,No,1,,"Fenced-Fully, Gas Available, High Speed Internet",Street,,"Hardwood, Wall to Wall Carpet, Dining Room, Security System, Walk-In Closet(s), Fireplace, Water Heater",,Sewer Connected,,1,,Forced Air,"221 S 55th Street
Tacoma, WA 98408",,,,"SecuritySystem, PartiallyFenced",,1,"2,010 SQFT",,Buyer To Verify,"$5,019 ",,,,"$509,900 ","2,486 sqft",Se Tacoma,1928,Y,59 - Southeast Tacoma,,2,0,,No,,0,Square Feet,2024-05-08T21:40:09.565Z,,,1,"4,800 sqft",,,1 / 1 Full / Half Baths,"Electric, Natural Gas",0,0 sqft,Closing,OneAndOneHalf,Residential,Buyer To Verify,No,,,,,Composition,,"Dishwasher(s), Dryer(s), Microwave(s), Refrigerator(s), See Remarks, Stove(s)/Range(s), Washer(s)",,,,,Territorial,,0,Gas,2,,Garden Space,Sold,,0.11 Acres,Buyer To Verify,,,,,1,,Public,No,No,,0,1,,,TPU,House,,,,Wood Burning,,"Hardwood, Vinyl Plank, Carpet",Tacoma,,No,,Detached Garage,Main,,,,South,0,2024,Residential,5,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2221295-221-S-55th-Street-Tacoma-WA-98408/,0.1102,1,1,,1,,"SOLD: MAY 08, 2024",,,Very Good,0,,,1,,0,Poured Concrete,No,0,5 Beds,"Cash Out, Conventional, FHA, VA Loan",Yes,Pierce,"Alley, Curbs, Paved, Sidewalk",,,47.2075345,-122.4352907
,"From I-5, go W on 348th ST, Continue W until Ridge DR. Turn R into Harbor Ridge Estates, and Keep Left. The home is past the park on the left. Look for sale sign.",Yes,No,"Dishwasher(s), Dryer(s), Garbage Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,5,,No,Yes,,0,,,0 sqft,,No,"$725,000 ",,,,2.75,,4,12 - 2 Story,,Annually,Yes,Closed,0,,,,"Located in the desirable Harbor Ridge Estates, this spacious view home is perfect for living & entertaining. It offers Commencement Bay views and is close to schools, dining, shopping and walking trails","Located in the desirable Harbor Ridge Estates, this spacious view home is perfect for living & entertaining. It offers Commencement Bay views and is close to schools, dining, shopping and walking trails. An inviting foyer leads to the living areas w/large windows and abundant light, while providing uninterrupted bay and city views. An open floor plan connects the living room to the kitchen, featuring updated appliances, ample storage, and a large island. The primary bedroom is a tranquil retreat, with a spa-like en-suite bathroom, and private balcony. Outside, the fully fenced, landscaped grounds showcase a variety of beautiful flowers and shrubs, creating a peaceful oasis where you can relax. Come view this beautiful home today.",,Garage,,"Metal/Vinyl, Wood",,,1,No,2,,"Cable TV, Deck, Fenced-Fully, Gas Available, High Speed Internet, Patio, Sprinkler System",,,"Bath Off Primary, Ceramic Tile, Dining Room, Fireplace, Hardwood, Wall to Wall Carpet, Water Heater",,Sewer Connected,SFR,2,,Forced Air,"5216 Ridge Drive NE
Tacoma, WA 98422",1,,,PartiallyFenced,,2,"2,458 SQFT",,Meeker,"$7,246 ",,,,"$725,000 ","2,458 sqft",Browns Point,1990,Y,94 - Browns Point,,0,0,Yes,,CCRs,0,Square Feet,2024-09-28T00:30:08.718Z,,,0,"9,044 sqft",,,3 Baths,"Electric, Natural Gas",0,0 sqft,Closing,Two,Residential,Browns Point,Yes,,,,,Composition,,"Dishwasher(s), Dryer(s), Disposal, Refrigerator(s), Stove(s)/Range(s), Washer(s)",,,,,"Bay, City, Sound, Territorial",,0,Gas,3,,"Fruit Trees, Garden Space",Sold,,0.21 Acres,Stadium,,,,,0,,Public,No,No,"Level, Partial Slope",1,0,,,Tacoma Public Utilities,House,,,"Cash Out, Conventional, FHA, VA Loan",Gas,,"Ceramic Tile, Hardwood, Vinyl, Carpet",Tacoma,,No,,Attached Garage,Main,,,,Northeast,503,2024,Residential,5,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2267523-5216-Ridge-Drive-Ne-Tacoma-WA-98422/,0.2076,1,,,1,,"SOLD: SEP 27, 2024",,,Very Good,0,,Traditional,2,,2,Poured Concrete,No,0,5 Beds,,Yes,Pierce,"Paved, Sidewalk",,,47.3032726,-122.4176232
,,No,No,,,,,No,,,1,,,0 sqft,,No,"$315,000 ",,,,2,,2,14 - Split Entry,,,No,Closed,0,,,,,,,,,,,,0,,0,Single Family Residence,,,,,,Sewer Connected,,2,,,"2314 S L Street
Tacoma, WA 98405",,,,,,0,"1,575 SQFT",,Buyer To Verify,"$4,643 ",,,,"$315,000 ","1,575 sqft",Hilltop,1972,Y,30 - Central Tacoma,,2,0,,,,0,Square Feet,2025-09-05T17:27:14.206Z,,,0,"6,500 sqft",,,2 Baths,,0,,,Multi/Split,,Buyer To Verify,No,,,,,Composition,,,,,,,,,0,,2,,,Sold,,0.15 Acres,Buyer To Verify,,,,,0,,Public,No,No,,0,0,,,,House,,,,,,,Tacoma,,No,,"Driveway, Off Street",Main,,Wood,,,No,2025,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2429932-2314-S-L-Street-Tacoma-WA-98405/,0.1492,0,,$0 ,0,,"SOLD: SEP 04, 2025",,,,0,,,,,1,,No,0,4 Beds,,,Pierce,,,,47.2389124,-122.450526
,"From Hwy. 16 take Exit 4, South on Jackson, Right on 6th, Left on Sunset. Home is on your left.",No,No,"Dishwashers, Microwaves, Refrigerators, StovesRanges",Daylight,4,,No,Yes,,0,,,0 sqft,Sunset,Yes,"$819,000 ",,,,3,,3,15 - Multi Level,,,Yes,Closed,0,,,,"Observe the gorgeous collusion of sky burst reds & yellows just before the calm of the night on one of two decks from this West Slope home. You'll see the tips of the Narrows bridges, the Olympics and","Observe the gorgeous collusion of sky burst reds & yellows just before the calm of the night on one of two decks from this West Slope home. You'll see the tips of the Narrows bridges, the Olympics and partial sound views! A modern take on this late mid-century multi-level home with its solarium next to the breakfast-coffee nook along with new metal decks wire railings, freshly painted, new carpet, updated bathrooms, new water filtration system, central heating & cooling. The lower 4th bedroom is spacious enough to be finished as a MIL ensuite for multi-generational uses. Conveniently located next to University Place, shop at Whole Foods, Trader Joes or you can walk to Titlow Beach or enjoy a burger at Lefty's only a stone's throw away.",,,,Wood,,,0,No,2,,"Cable TV, High Speed Internet",Drive,,"Ceramic Tile, Wall to Wall Carpet, Bath Off Primary, Double Pane/Storm Window, Dining Room, French Doors, High Tech Cabling, Solarium/Atrium",,Sewer Connected,R1,1,,Heat Pump,"1719 S Sunset Drive
Tacoma, WA 98465",,,,,,2,"2,502 SQFT",,Hunt,"$6,297 ",Click here,,,"$819,000 ","2,502 sqft",University Place,1979,Y,32 - University Place,,1,0,,No,,0,Square Feet,2024-04-26T20:10:11.296Z,,,0,"7,519 sqft",,,3 / 1 Full / Half Baths,Electric,1,0 sqft,Closing,Multi/Split,Residential,Geiger,Yes,,,,,Composition,,"Dishwasher(s), Microwave(s), Refrigerator(s), Stove(s)/Range(s)",,,,,"Mountain(s), Partial, Sound",,1,,4,,,Sold,,0.17 Acres,Foss,,,,,0,Heat Pump,Public,No,No,"Level, PartialSlope, Terraces",2,1,,,TPU,House,,,,,,"Ceramic Tile, Vinyl, Carpet",Tacoma,,No,,Attached Garage,Main,,,,West,0,2024,Residential,4,,Tacoma,,,https://www.premierepropertygroup.com/property/21-2218588-1719-S-Sunset-Drive-Tacoma-WA-98465/,0.1726,,,,0,,"SOLD: APR 26, 2024",,,Good,0,,,2,,1,Poured Concrete,No,1,4 Beds,"Assumable, Cash Out, Conventional, VA Loan",Yes,Pierce,Paved,,,47.2437202,-122.5445482
